GISJOIN,YEAR,STATE,STATEFP,STATENH,NAME,BL1AA,BL1AB,BL1AC,BL1AD,BL1AE,BL1AF,BL1AG,BL1AH,BL1AI,BL1AJ,BL1AK,BL1AL,BL1AAM,BL1ABM,BL1ACM,BL1ADM,BL1AEM,BL1AFM,BL1AGM,BL1AHM,BL1AIM,BL1AJM,BL1AKM,BL1ALM
GIS Join Match Code,Row Source Year,NHGIS Integrated State Name,FIPS State Code,NHGIS Integrated State Code,Year-Specific Area Name,Persons: Male ~ Never married,Persons: Male ~ Now married,Persons: Male ~ Now married--Not separated,Persons: Male ~ Now married--Separated,Persons: Male ~ Widowed,Persons: Male ~ Divorced,Persons: Female ~ Never married,Persons: Female ~ Now married,Persons: Female ~ Now married--Not separated,Persons: Female ~ Now married--Separated,Persons: Female ~ Widowed,Persons: Female ~ Divorced,Margin of error: Persons: Male ~ Never married,Margin of error: Persons: Male ~ Now married,Margin of error: Persons: Male ~ Now married--Not separated,Margin of error: Persons: Male ~ Now married--Separated,Margin of error: Persons: Male ~ Widowed,Margin of error: Persons: Male ~ Divorced,Margin of error: Persons: Female ~ Never married,Margin of error: Persons: Female ~ Now married,Margin of error: Persons: Female ~ Now married--Not separated,Margin of error: Persons: Female ~ Now married--Separated,Margin of error: Persons: Female ~ Widowed,Margin of error: Persons: Female ~ Divorced
"G390","1980","Ohio","39","390","OHIO",1115100,2491673,2443460,48213,104249,228512,976098,2508735,2438110,70625,538342,339666,,,,,,,,,,,,
"G400","1980","Oklahoma","40","400","OKLAHOMA",276750,745764,732776,12988,27058,71080,202551,746073,728434,17639,160912,101547,,,,,,,,,,,,
"G410","1980","Oregon","41","410","OREGON",271679,628271,611475,16796,21018,73196,208730,630480,608740,21740,113274,96579,,,,,,,,,,,,
"G420","1980","Pennsylvania","42","420","PENNSYLVANIA",1334763,2756085,2657885,98200,143125,177676,1213750,2793598,2652594,141004,700497,259901,,,,,,,,,,,,
"G440","1980","Rhode Island","44","440","RHODE ISLAND",113578,212260,206568,5692,11056,16047,106485,215133,205883,9250,54649,25619,,,,,,,,,,,,
"G450","1980","South Carolina","45","450","SOUTH CAROLINA",344717,713669,680165,33504,27673,45221,283186,725098,674908,50190,161801,62117,,,,,,,,,,,,
"G460","1980","South Dakota","46","460","SOUTH DAKOTA",78578,160764,158868,1896,6773,10245,59835,160860,158465,2395,35279,12717,,,,,,,,,,,,
"G470","1980","Tennessee","47","470","TENNESSEE",444577,1096566,1065173,31393,42250,97227,368005,1106991,1061943,45048,247878,141670,,,,,,,,,,,,
"G480","1980","Texas","48","480","TEXAS",1446978,3339741,3245461,94280,112485,302863,1111045,3341951,3208526,133425,620505,434685,,,,,,,,,,,,
"G490","1980","Utah","49","490","UTAH",136308,321745,317159,4586,7137,23290,112330,322614,316523,6091,42072,33711,,,,,,,,,,,,
