"","Location","Depth","%C.org","d13C.org","%N","d15N","%C.total","d13C.total","%C.inorg"
"61","South",2,4.63988129208994,-20.64,0.400704674914519,7.61666666666667,4.6779840943516,-20.62,0.0381028022616574
"62","South",3,4.51723399700278,-20.71,0.383982729441544,7.62,5.42996348331784,-20.722,0.912729486315059
"63","South",4,4.23051342496087,-20.3697238914821,0.357134097980341,8.22408391301573,4.25121110396512,-20.4965731212436,0.020697679004253
"64","South",6,4.17938284164124,-20.46,0.348998698220902,7.75,4.15537085244914,-20.35,-0.0240119891920907
"65","South",8,4.06249135531235,-20.5410866047734,0.340777368695055,8.20038740920808,3.99948512712209,-20.3343322829174,-0.0630062281902584
"66","South",10,3.34122309682391,-20.35,0.280303770225505,7.13333333333333,3.41283192410473,-20.3233333333333,0.0716088272808215
"67","South",12,3.13958005030736,-20.3522421201631,0.260624812304285,7.61400578430585,3.13852244729651,-19.5950815766812,-0.00105760301085311
"68","South",14,2.89535364676686,-19.7,0.247075120636206,6.65333333333333,2.9724173994274,-19.46,0.0770637526605471
"69","South",16,2.90392616659826,-19.7118926006135,0.250618304537487,7.09695278030895,2.94839667756677,-19.6588756639629,0.0444705109685049
"70","South",18,2.92758089368259,-19.41,0.255481845343178,6.23,2.95580722085586,-19.3266666666667,0.0282263271732699
"71","South",20,3.21954101982069,-19.4051105810542,0.256652222109169,6.63805700064735,3.14383975910959,-19.4361744794631,-0.0757012607110972
"72","South",22,3.26214384015495,-20.01,0.247951577677308,5.368,3.34412353733397,-20.262,0.081979697179015
"73","South",24,3.04326248949142,-19.3812603852118,0.247663911695367,5.4169983371631,3.14806011060712,-19.462039424596,0.1047976211157
"74","South",26,3.04009229881742,-19.32,0.247859326177089,5.24333333333333,3.13458884035215,-19.4966666666667,0.094496541534729
"75","South",28,3.02005764295657,-19.5427289624276,0.253337614706741,4.86521692015551,3.35830418377039,-19.7333303976002,0.338246540813819
"76","South",30,3.44106369204721,-19.59,0.274431503945291,4.8,3.40634731245766,-19.4266666666667,-0.0347163795895531
"77","South",32,4.66519995409416,-20.904045651659,0.296211675492322,3.80025660156472,4.49448187387441,-20.8888436534539,-0.170718080219747
"78","South",34,4.90793098448601,-21.32,0.33314744538552,3.28333333333333,7.11531465343777,-21.1666666666667,2.20738366895176
"79","South",36,6.03261099289989,-21.1286424594535,0.341663430266208,3.09297454456266,5.87954661693086,-21.3657010948008,-0.15306437596903
"80","South",38,7.31842032587683,-21.43,0.406899658933168,2.44,10.0714871886063,-21.61,2.75306686272947
"81","South",40,16.8083451773624,-21.8401871408203,0.707060316853847,1.52348945795978,13.6613107606089,-21.4204560724043,-3.14703441675342
"82","South",42,20.497803806735,-21.66,0.964452241081099,1.084,26.0001956240532,-22.096,5.50239181731825
"83","South",44,29.9276779612347,-22.8211103537826,1.47778317236167,0.509438270618281,29.0407313491744,-19.333825518241,-0.886946612060303
"84","South",46,33.267905972323,-23.4161669722454,1.66977965514918,0.614496706273865,32.4527106184045,-19.9119428613087,-0.815195353918519
