"location","depth.cm","%N","d15N.permil","%C.total","d13C.total","%C.organic","d13C.organic","P.pct.inorg","P.pct.total","P.pct.org","SiO2.mg","SiO2.prct","water.percent","bulk.density.gcm3","median.grainsize.um","mean.phi","sd.phi","skewness.phi","kurtosis.phi","thickness.cm","accretion.rate.cmyr","year.mean","end.pb","below_pb_LOD","N.P.ratio","C.N.ratio","Si.P.ratio","Si.N.ratio","C.P.ratio","P.total.pct.e2","accretion.rate.gcm2yr","outlier"
"Middle",24,0.230654533502427,8.04853130755859,3.0421792988179,-20.2547229925666,3.06795162500999,-20.7162298389304,0.010553906,0.019053984,0.008500078,177.038737333333,5.91433084165236,46.49,0.64,48,5.518,3.389,0.273,1.065,2,0.144927536231882,1886.6,38,FALSE,12.1053178958493,13.3010679583183,310.398646375076,25.6415113626637,161.013655989739,1.9053984,0.0927536231884046,FALSE
"Middle",26,0.201126752252012,7.165,3.09381483631612,-19.67,2.90988885178648,-20.18,0.009541435,0.019729113,0.010187678,174.899689066667,5.76197539690007,44.81,0.63,39.1,5.653,3.305,0.265,1.124,2,0.152671755725192,1873.5,38,FALSE,10.1944143283082,14.4679353651591,292.054457638317,28.6484782973092,147.492127587615,1.9729113,0.0961832061068709,FALSE
"Middle",28,0.240071685680169,7.71494168466061,3.09325806533115,-20.2573126615712,2.84176050220042,-19.6866332336781,0.007469948,0.016004253,0.008534306,191.0628112,6.25151335405282,47.24,0.62,32.2,5.75,3.271,0.22,1.066,2,0.153846153846154,1860.5,38,FALSE,15.0004930364553,11.8371331219222,390.61575407817,26.0401943542034,177.562832966988,1.6004253,0.0953846153846154,FALSE
"Middle",30,0.215106527774155,6.41,3.06614150881597,-16.75,3.07267200884222,-17.83,0.007930803,0.015332904,0.007402101,216.968005466667,7.22156425322902,46.92,0.71,31.9,5.794,3.302,0.169,0.613,2,0.150375939849625,1847.2,38,FALSE,14.0290794081901,14.2844200993672,470.984769305868,33.5720367389831,200.397263873968,1.5332904,0.106766917293233,FALSE
"Middle",32,0.218510567548689,6.89001085940903,2.69795362336115,-18.7625346316081,2.42534830830117,-18.9635741914558,0.007964292,0.02826733,0.020303038,193.71546336,6.10001883550783,44.45,0.67,32.3,5.755,3.285,0.203,0.744,2,0.150375939849625,1833.9,38,FALSE,7.7301452789736,11.099455442862,215.797489027362,27.9163561924693,85.8004030908178,2.826733,0.100751879699248,FALSE
"Middle",34,0.193944709432224,6.275,3.22096947253378,-14.165,3.09233867101352,-14.03,0.007792325,0.016270969,0.008478645,209.628933066667,7.00619457217524,46.04,0.67,29.6,5.711,3.357,0.159,0.617,2,0.149253731343283,1820.5,38,FALSE,11.9196778896342,15.9444342672012,430.59479568643,36.1247006566252,190.052520597484,1.6270969,0.0999999999999993,FALSE
"Middle",36,0.228495835353449,6.59678968732393,2.5943299292856,-18.6040061954391,2.58279028183227,-18.8370534177047,0.007806183,0.014419733,0.00661355,123.046844,4.07634946238213,43.71,0.68,37.9,5.651,3.447,0.126,0.591,2,0.150375939849625,1807.2,38,FALSE,15.8460517509894,11.3034457623137,282.692436980777,17.8399289250792,179.114986514124,1.4419733,0.102255639097745,FALSE
"Middle",38,0.195476392668562,5.91,2.95078280800675,-15.2375,2.91670999272122,-15.63,0.007295382,0.017251717,0.009956335,195.6078632,6.31252070989154,43.58,0.74,29.2,5.681,3.436,0.116,0.533,2,0.148148148148148,1793.7,38,FALSE,11.330836963565,14.9210344681704,365.906808573984,32.2930079878989,169.067808886572,1.7251717,0.10962962962963,FALSE
"Middle",40,0.204182938048653,5.71049630272749,2.2929832992498,-18.505391760049,2.49241624061802,-18.8976056941637,0.006797092,0.011404553,0.004607461,148.3122864,3.8577734924622,42.11,0.79,34.4,5.673,3.357,0.192,0.992,2,0.150375939849625,1780.4,38,TRUE,17.903633579383,12.2067801768242,338.266084822632,18.8937113420464,218.545719469936,1.1404553,0.118796992481203,FALSE
"Middle",42,0.161498950519495,4.36,2.046899985463,-19.2,2.05558006175562,-19.31,0.004028006,0.010386442,0.006358436,160.257191733333,5.10084589612399,36.47,0.95,28.9,5.938,3.157,0.212,1.215,2,0.149253731343283,1767,38,TRUE,15.5490157764801,12.7281326296141,491.106184016046,31.5843903611512,197.909935063001,1.0386442,0.141791044776118,FALSE
