"location","depth.cm","%N","d15N.permil","%C.total","d13C.total","%C.organic","d13C.organic","P.pct.inorg","P.pct.total","P.pct.org","SiO2.mg","SiO2.prct","water.percent","bulk.density.gcm3","median.grainsize.um","clay.pct","gravel.pct","sand.pct","year.min","year.max","year.median","year.mean","end.pb","cs.peak","n.years","n.cm","accretion.rate.cmyr","century","N.P.ratio","C.N.ratio","Si.P.ratio","P.total.pct.e2","N.storage","median.grainsize.phi","accretion.rate.gcm2yr"
"North",3,0.452059540115076,7.955,5.03036834573921,-21.005,4.97641509433962,-21.04,0.009078757,0.02187651,0.012797754,273.986772114286,8.87377919987405,64.93,0.26,55,57.4466666666667,0.0222222222222222,42.5322222222222,2001.9,2009.1,2006.1,2005.9,NA,NA,6.39999999999986,1,0.156250000000003,"2000",20.6641525597582,11.1276677060254,405.63047761613,2.187651,0.0282085153031808,5.78135971352466,0.0406250000000009
"North",6,0.393132357646145,8.055,9.0977306337262,-20.83,4.5881178232651,-20.89,0.010383373,0.022182427,0.011799054,282.938749333333,9.3646255260415,60.56,0.39,66.6,50.73,0,49.2766666666667,1981.3,1994.4,1988.5,1988.4,NA,NA,4.59999999999991,1,0.21739130434783,"2000",17.7226936279851,23.1416479889833,422.164153906221,2.2182427,0.0367971886756792,6.0574502721839,0.0847826086956538
"North",10,0.359027630076976,8.08,6.42841506425521,-20.705,4.32821580362564,-20.54,0.012614716,0.027088099,0.014473383,239.707384266667,8.07773595874303,58.32,0.41,68.4,49.4877777777778,0.114444444444444,50.3944444444444,1964.2,1973.8,1968.6,1968.6,NA,TRUE,5.10000000000014,1,0.196078431372544,"2000",13.25407257545,17.9050706010481,298.202393558257,2.7088099,0.0353283187995744,6.09592441999854,0.0803921568627429
"North",14,0.304696902380991,8.2825,3.83196279350604,-20.8025,3.84185186986335,-20.86,0.011591469,0.02671033,0.01511886,210.284005333333,6.89422753272817,54.95,0.48,40.5,63.4755555555556,0,36.5222222222222,1930,1954.2,1944.1,1943.6,NA,NA,6.5,1,0.153846153846154,"1900",11.4074555567449,12.5763103056249,258.110908129108,2.671033,0.0351010831542901,5.33985000288462,0.0738461538461539
"North",18,0.294198831193248,8.09,3.88362427912674,-21.265,3.86429258902791,-21.3,0.011896232,0.02414865,0.012252418,184.013224266667,6.30088264843472,53.54,0.58,34.2,68.5411111111111,0,31.4444444444444,1897.5,1937.4,1919.6,1919,NA,NA,6.09999999999991,1,0.163934426229511,"1900",12.1828272467922,13.2006788177066,260.920699435982,2.414865,0.0409524773021001,5.09592441999854,0.0950819672131162
"North",22,0.228373224994843,5.765,2.64185752516325,-19.265,2.65050934195916,-19.42,0.010458534,0.018854625,0.00839609,216.3703096,7.1928153300918,49.54,0.64,26.4,74.8541666666667,0,25.1341666666667,1866.1,1916.8,1893.9,1893.4,NA,NA,6.29999999999995,1,0.15873015873016,"1900",12.1123185952965,11.5681578925153,381.488113929171,1.8854625,0.0350781273592078,4.72246602447109,0.101587301587302
"North",26,0.252941246076291,5.125,2.95540435125872,-18.89,2.88949629051152,-18.88,0.009485345,0.019047798,0.009562454,271.723615733333,9.04313198140554,51.78,0.59,25.6,72.6677777777778,0,27.3355555555556,1838.8,1895.6,1868.7,1868.3,NA,NA,6.20000000000005,1,0.161290322580644,"1900",13.2792906600695,11.6841535222268,474.759968653886,1.9047798,0.0358164804444028,4.67807190511264,0.0951612903225799
"North",30,0.251992470165126,4.825,3.08893119230708,-19.535,3.07027391109115,-19.37,0.008439572,0.019490944,0.011051372,249.143549066667,8.1339157417481,51.33,0.62,23.9,74.0066666666667,0,25.9911111111111,1813,1874.1,1843.7,1843.8,NA,NA,6.10000000000014,1,0.163934426229505,"1800",12.928694996257,12.2580297351066,417.317690808003,1.9490944,0.0374964795605708,4.57893871309339,0.101639344262293
"North",34,0.263361473343116,4.4925,3.20905804078055,-19.7325,3.19192540219285,-19.77,0.009468708,0.021066635,0.011597927,241.911919733333,7.74626469687538,49.89,0.57,19.9,78.8888888888889,0.00888888888888889,21.0888888888889,1789.6,1850.9,1818.9,1819.2,NA,NA,6.09999999999991,1,0.163934426229511,"1800",12.5013545515511,12.1849942592008,367.702990860922,2.1066635,0.0360278495533383,4.31469652565629,0.0934426229508211
"North",38,0.289230661733838,4.11,5.77865029686963,-20.165,3.96693451556294,-20.35,0.011043159,0.019825389,0.00878223,251.113171733333,7.94245428078021,52.35,0.5,29,74.2644444444445,0,25.7233333333333,1766.4,1825.7,1794.2,1794.4,TRUE,NA,6.09999999999991,1,0.163934426229511,"1800",14.5889022270301,19.979383452047,400.620350036018,1.9825389,0.0347076794080605,4.85798099512757,0.0819672131147553
