"location","depth.cm","%N","d15N.permil","%C.total","d13C.total","%C.organic","d13C.organic","P.pct.inorg","P.pct.total","P.pct.org","SiO2.mg","SiO2.prct","water.percent","bulk.density.gcm3","median.grainsize.um","clay.pct","pebbles.pct","sand.pct","silt.pct","skewness.um","kurtosis.um","mean.phi","sd.phi","year.min","year.max","year.median","year.mean","end.pb","cs.peak","n.years","n.cm","accretion.rate.cmyr","century","outlier","N.P.ratio","C.N.ratio","Si.P.ratio","Si.N.ratio","C.P.ratio","P.total.pct.e2","N.storage","median.grainsize.phi","accretion.rate.gcm2yr","cluster"
"Middle",40,0.204182938048653,5.71049630272749,2.2929832992498,-18.505391760049,2.49241624061802,-18.8976056941637,0.006797092,0.011404553,0.004607461,148.3122864,3.8577734924622,42.11,0.79,34.4,3.09111111111111,0,35.9277777777778,60.9866666666667,0.174,0.53,5.19535381406227,2.16796475008853,1750.7,1814.3,1780.1,1780.9,NA,NA,6.59999999999991,1,0.151515151515154,"1800",FALSE,17.903633579383,12.2067801768242,338.266084822632,18.8937113420464,218.545719469936,1.1404553,0.0387130850540246,5.10433665981474,0.119696969696971,"3"
"Middle",42,0.161498950519495,4.36,2.046899985463,-19.2,2.05558006175562,-19.31,0.004028006,0.010386442,0.006358436,160.257191733333,5.10084589612399,36.47,0.95,28.9,2.13666666666667,0,29.7208333333333,68.1408333333333,0.193,0.627,4.98168312396563,1.95125404642629,1739.8,1798.6,1766.8,1767.6,NA,NA,6.80000000000018,1,0.147058823529408,"1800",FALSE,15.5490157764801,12.7281326296141,491.106184016046,31.5843903611512,197.909935063001,1.0386442,0.0368217607184449,4.85299758761332,0.139705882352937,"3"
"Middle",44,0.230838403185303,4.98400462526423,2.65330098026693,-18.9619669802148,2.92003515819515,-18.9653939966786,0.00685414,0.016741645,0.009887505,207.660111466667,6.84244609919175,44.67,0.72,46.9,2.06,0,39.8391666666667,58.095,0.226,1.003,5.39086504247115,2.13313656761886,1728.5,1784.9,1753,1754.1,NA,NA,6.80000000000018,1,0.147058823529408,"1800",FALSE,13.7882748789204,12.6496939759678,408.708110773568,29.6417147440543,174.417457674867,1.6741645,0.0398888760704203,5.55151601762801,0.105882352941174,"2"
"Middle",46,0.189165349531879,3.815,2.40913549444374,-20.13,2.37387445607686,-19.86,0.005552979,0.012088794,0.006535815,138.7241192,4.40965569263035,42.63,0.77,22.6,4.02777777777778,0,29.1777777777778,66.7811111111111,0.049,0.551,4.84334348037334,2.17228094839493,1718.3,1769.5,1739.6,1740.8,NA,NA,6.60000000000014,1,0.151515151515148,"1700",FALSE,15.6479918122419,12.5492034453001,364.772176002863,23.3111175146123,196.369832762214,1.2088794,0.0349577565934913,4.49825086752783,0.116666666666664,"3"
"Middle",48,0.12945971115971,4.14316508924388,1.96545558205644,-20.7612424432863,1.93108270971693,-20.6996360991078,0.002452631,0.004377091,0.001924461,62.3049626666667,2.00875302284835,28.8,1.21,196.9,1.91333333333333,0.242222222222222,60.5566666666667,37.2933333333333,0.596,0.872,6.59077980025305,2.53418023442815,1709.4,1755.9,1726.4,1728,NA,NA,6.40000000000009,1,0.156249999999998,"1700",FALSE,29.5766551711422,14.9164762721788,458.924208532186,15.516433683142,441.179475070755,0.4377091,0.0375951001207797,7.62131930101419,0.189062499999997,"3"
"Middle",50,0.0561024711080408,0.015,1.30732332608936,-22.845,1.63349702765573,-23.13,4.9048e-06,NA,-0.000489713,12.5306853333333,0.411979465702238,18.8,1.23,242.1,1.09,0.231111111111111,67.7088888888889,30.9811111111111,0.507,1.007,7.04168366207946,2.4330711662742,1700.4,1743.6,1712.2,1715,NA,NA,6.59999999999991,1,0.151515151515154,"1700",FALSE,NA,29.1163115526583,NA,7.34333902884345,NA,NA,0.0165614494710936,7.91945926911157,0.186363636363639,NA
"Middle",52,0.124695633727915,3.1465369464658,2.55968154425775,-23.202759727927,2.39914642099595,-23.0281257141481,0.004834339,0.007953108,0.003118769,14.1596544,0.4554751270946,21.15,NA,74,1.39666666666667,0.166666666666667,39.6841666666667,58.7408333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,15.6788558294336,19.2400194719799,57.2700794575655,3.65269507421923,301.661491456667,0.7953108,NA,6.20945336562895,NA,NA
"North",0,0.660737535638723,8.40327997851383,6.46293876331962,-20.1830710063795,6.3981604012845,-20.4638066979287,-0.001843031,0.03561734,0.037460371,235.39608352,7.85884586503941,67.48,NA,76.2,0.0333333333333333,0.00166666666666667,53.6866666666667,46.2783333333333,0.291,1.488,6.01011964158073,1.61148012167774,2019.9,2019.9,2019.9,2019.9,NA,NA,NA,NA,NA,"2000",FALSE,18.5510073362784,9.68336148043944,220.646625071929,11.8940508767107,179.636109863468,3.561734,NA,6.25171909260596,NA,NA
"North",1,0.633340053177114,8.23996592190672,6.23939847866872,-20.2634715892858,6.03586511891086,-20.1841221486899,0.005224158,0.030777433,0.025553275,309.274617066667,10.0232445172051,66.96,0.39,60.2,0.111111111111111,0,46.4777777777778,53.4077777777778,0.227,1.409,5.74733175075433,1.60231638154636,2014.3,2018,2016.6,2016.5,NA,NA,3.40000000000009,1,0.294117647058816,"2000",FALSE,20.578066181709,9.53021222743184,325.668632507627,15.8260076351149,196.113337941825,3.0777433,0.0592806289773779,5.91169158187234,0.114705882352938,"1"
"North",2,0.523082655002773,7.875,5.52630937546862,-21.16,5.49947789766794,-21.2,0.003454387,0.019685674,0.016231287,260.63503064,8.60835058427189,65.53,0.25,60.3,0.133333333333333,0,46.2266666666667,53.6383333333333,0.232,1.426,5.73340299153139,1.59691546320943,2009.6,2014.4,2012.5,2012.3,NA,NA,4.20000000000005,1,0.238095238095236,"2000",FALSE,26.571742222429,10.5135925366112,437.29011179764,16.4569604859604,279.364470714487,1.9685674,0.0313849593001664,5.91408609701272,0.0595238095238089,"1"
"North",3,0.452059540115076,7.955,5.03036834573921,-21.005,4.97641509433962,-21.04,0.009078757,0.02187651,0.012797754,273.986772114286,8.87377919987405,64.93,0.26,55,0.23,0.0222222222222222,42.5322222222222,57.2166666666667,0.209,1.425,5.60137700248475,1.63686235396356,2001.9,2009.1,2006.1,2005.9,NA,NA,6.39999999999986,1,0.156250000000003,"2000",FALSE,20.6641525597582,11.0083178270562,405.63047761613,19.6296691307856,227.477559004595,2.187651,0.0282085153031808,5.78135971352466,0.0406250000000009,"1"
"North",4,0.423215278873957,8.19226872740333,4.80533921739824,-20.337435208387,4.71143427511446,-20.4107018325843,0.012844499,0.025385192,0.012540693,278.91635328,9.20695232433229,64.34,0.35,54.9,0.176666666666667,0.0322222222222222,42.9566666666666,56.8311111111111,0.239,1.453,5.60931545487724,1.58812123389292,1991.9,2003,1998.2,1998,NA,NA,7.90000000000009,1,0.126582278481011,"2000",FALSE,16.6717383454873,11.132476803886,362.689883311983,21.754773005429,185.597740411594,2.5385192,0.0355500834254124,5.77873424411784,0.0443037974683539,"1"
"North",6,0.393132357646145,8.055,9.0977306337262,-20.83,4.5881178232651,-20.89,0.010383373,0.022182427,0.011799054,282.938749333333,9.3646255260415,60.56,0.39,66.6,0.146666666666667,0,49.2766666666667,50.5833333333333,0.294,1.401,5.78890793058364,1.59899534757104,1981.3,1994.4,1988.5,1988.4,NA,NA,4.59999999999991,1,0.21739130434783,"2000",FALSE,17.7226936279851,11.670669518877,422.16415390622,23.8205412093566,206.835700316521,2.2182427,0.0367971886756792,6.0574502721839,0.0847826086956538,"1"
"North",8,0.389392348568484,8.13055571814521,4.68390147867085,-20.7147809903072,4.71382577739858,-20.8625561555496,0.013869336,0.0308207,0.016951364,270.4116688,9.13518548491631,60.8,0.42,69.7,0.155555555555556,0.191111111111111,50.7622222222222,48.8855555555556,0.314,1.399,5.8498473836691,1.65498258313423,1971.9,1985,1978.9,1978.8,NA,NA,4.79999999999995,1,0.208333333333335,"2000",FALSE,12.6341176082465,12.1055942540421,296.397728958664,23.4601052601568,152.943501523281,3.08207,0.0392507487357032,6.12308675098106,0.0875000000000008,"1"
"North",10,0.359027630076976,8.08,6.42841506425521,-20.705,4.32821580362564,-20.54,0.012614716,0.027088099,0.014473383,239.707384266667,8.07773595874303,58.32,0.41,68.4,0.395555555555556,0.114444444444444,50.3944444444444,49.0922222222222,0.31,1.284,5.80382649713957,1.73905412133279,1964.2,1973.8,1968.6,1968.6,NA,TRUE,5.10000000000014,1,0.196078431372544,"2000",FALSE,13.25407257545,12.0553836001359,298.202393558257,22.4989256593181,159.782929161092,2.7088099,0.0353283187995744,6.09592441999854,0.0803921568627429,"1"
